movie_id,movie_brief,director,writers,casts
1,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,John Lasseter|Pete Docter|Andrew Stanton,Tom Hanks|Tim Allen|Don Rickles
2,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop t... Read all",Martin Campbell,Ian Fleming|Michael France|Jeffrey Caine,Pierce Brosnan|Sean Bean|Izabella Scorupco
3,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Directors,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Tim Roth|Antonio Banderas|Sammi Davis
4,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,Elmore Leonard|Scott Frank,Gene Hackman|Rene Russo|Danny DeVito
5,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,Ann Biderman|David Madsen,Sigourney Weaver|Holly Hunter|Dermot Mulroney
6,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,Feiyu Bi|Li Xiao,Gong Li|Baotian Li|Xiaoxiao Wang
7,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,Chris Marker|David Webb Peoples|Janet Peoples,Bruce Willis|Madeleine Stowe|Brad Pitt
8,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,Dick King-Smith|George Miller|Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh
9,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,Helen Prejean|Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
10,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,Ian McKellen|Richard Loncraine|Richard Eyre,Ian McKellen|Annette Bening|Christopher Bowen
11,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,Andrew Kevin Walker,Morgan Freeman|Brad Pitt|Kevin Spacey
12,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,Christopher McQuarrie,Kevin Spacey|Gabriel Byrne|Chazz Palminteri
13,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
14,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford,Antonio Skármeta|Furio Scarpelli|Giacomo Scarpelli,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta
15,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss|Glenne Headly|Jay Thomas
16,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Josiane Balasko,Josiane Balasko|Telsche Boorman|Patrick Aubrée,Victoria Abril|Josiane Balasko|Alain Chabat
17,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,Robert Kurtzman|Quentin Tarantino,Harvey Keitel|George Clooney|Juliette Lewis
18,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
19,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
20,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,A.S. Byatt|Belinda Haas|Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
21,The Muppets' twist on the classic tale.,Brian Henson,Robert Louis Stevenson|Jerry Juhl|Kirk R. Thatcher,Tim Curry|Billy Connolly|Jennifer Saunders
22,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,Mel Gibson|Sophie Marceau|Patrick McGoohan
23,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,Paul Schrader,Robert De Niro|Jodie Foster|Cybill Shepherd
24,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,Edward Tang|Fibe Ma,Jackie Chan|Anita Mui|Françoise Yip
25,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,Mike Nichols,Jean Poiret|Francis Veber|Édouard Molinaro,Robin Williams|Nathan Lane|Gene Hackman
26,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",Edward Burns,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns
27,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,George Gallo|Michael Barrie|Jim Mulholland,Will Smith|Martin Lawrence|Lisa Boyle
28,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard,Jim Lovell|Jeffrey Kluger|William Broyles Jr.,Tom Hanks|Bill Paxton|Kevin Bacon
29,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his s... Read all",Joel Schumacher,Bob Kane|Lee Batchler|Janet Scott Batchler,Val Kilmer|Tommy Lee Jones|Jim Carrey
30,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,Joseph Kessel|Luis Buñuel|Jean-Claude Carrière,Catherine Deneuve|Jean Sorel|Michel Piccoli
31,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",Tony Scott,Michael Schiffer|Richard P. Henrick,Gene Hackman|Denzel Washington|Matt Craven
32,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,Terry Zwigoff,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb,Unknown
33,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the l... Read all,Robert Rodriguez,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
34,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos an... Read all",Gregg Araki,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech
35,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,Dwight H. Little,Keith Walker|Karen Janszen|Corey Blechman,Jason James Richter|Michael Madsen|Francis Capra
36,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,Antonia Bird,Paula Milne,Chris O'Donnell|Drew Barrymore|Matthew Lillard
37,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their... Read all",Michael Almereyda,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner
38,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",Irwin Winkler,John Brancato|Michael Ferris,Sandra Bullock|Jeremy Northam|Dennis Miller
39,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,Kathryn Bigelow,James Cameron|Jay Cocks,Ralph Fiennes|Angela Bassett|Juliette Lewis
40,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,Douglas Carter Beane,Wesley Snipes|Patrick Swayze|John Leguizamo
41,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Tamra Davis,Tim Herlihy|Adam Sandler,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras
42,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti
43,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Barry Levinson,Michael Crichton|Paul Attanasio,Michael Douglas|Demi Moore|Donald Sutherland
44,A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,Taylor Hackford,Stephen King|Tony Gilroy,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer
45,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,Ang Lee,Ang Lee|James Schamus|Hui-Ling Wang,Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang
46,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",Atom Egoyan,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar
47,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,Rudolph Grey|Scott Alexander|Larry Karaszewski,Johnny Depp|Martin Landau|Sarah Jessica Parker
48,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Steve James,Steve James|Frederick Marx,William Gates|Arthur Agee|Emma Gates
49,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",Fred Schepisi,Andy Breckman|Michael Leeson,Tim Robbins|Meg Ryan|Walter Matthau
50,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ... Read all",George Lucas,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher
51,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",Edward Zwick,Susan Shilliday|William D. Wittliff|Jim Harrison,Brad Pitt|Anthony Hopkins|Aidan Quinn
52,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",Nicholas Hytner,Alan Bennett,Nigel Hawthorne|Helen Mirren|Rupert Graves
53,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,Quentin Tarantino|David Veloz|Richard Rutowski,Woody Harrelson|Juliette Lewis|Tom Sizemore
54,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Wolfgang Petersen,Laurence Dworet|Robert Roy Pool,Dustin Hoffman|Rene Russo|Morgan Freeman
55,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin... Read all",Luc Besson,Luc Besson,Jean Reno|Gary Oldman|Natalie Portman
56,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
57,"A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.",Antonia Bird,Jimmy McGovern,Linus Roache|Tom Wilkinson|Robert Carlyle
58,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,Paul Attanasio|Richard N. Goodwin,Ralph Fiennes|John Turturro|Rob Morrow
59,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder
60,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy
61,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos
62,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich,Dean Devlin|Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson
63,"Scott Calvin is about to turn 65 and, realizing he can't be Santa forever, sets out to find a suitable replacement Santa while preparing his family for a new adventure in life south of the p... Read all",Stars,Unknown,Unknown
64,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Stephen King|Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
65,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,Peter Hedges,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
66,A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,Jon Turteltaub,Daniel G. Sullivan|Fredric Lebow,Sandra Bullock|Bill Pullman|Peter Gallagher
67,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Tom Shadyac,Jack Bernstein|Tom Shadyac|Jim Carrey,Jim Carrey|Courteney Cox|Sean Young
68,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,Alex Proyas,James O'Barr|David J. Schow|John Shirley,Brandon Lee|Michael Wincott|Rochelle Davis
69,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire ... Read all",Robert Zemeckis,Winston Groom|Eric Roth,Tom Hanks|Robin Wright|Gary Sinise
70,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",Mike Newell,Richard Curtis,Hugh Grant|Andie MacDowell|James Fleet
71,"Today, Rob takes a look at the highly disputed 'greatest Disney film ever made', starring Matthew Broderick, James Earl Jones, Jonathan Taylor Thomas, Rowan Atkinson, Whoopi Goldberg, Jeremy... Read all",Rob Boor,Rob Boor,Rob Boor
72,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
73,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",Richard Donner,Roy Huggins|William Goldman,Mel Gibson|Jodie Foster|James Garner
74,"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start schem... Read all",Russ Meyer,Jackie Moran|Russ Meyer,Tura Satana|Haji|Lori Williams
75,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the convicted... Read all",Jefri Aalmuhammed,Jefri Aalmuhammed|Jack Baxter|Joan Claire Chabriel,A. Peter Bailey|Roscoe Lee Browne|John Henrik Clarke
76,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,Edwin Torres|David Koepp,Al Pacino|Sean Penn|Penelope Ann Miller
77,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,Sydney Pollack,John Grisham|David Rabe|Robert Towne,Tom Cruise|Jeanne Tripplehorn|Gene Hackman
78,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",Simon Wincer,Keith Walker|Corey Blechman,Jason James Richter|Lori Petty|Michael Madsen
79,"Get ready for a hard-target, deep dive into every warehouse, farmhouse, henhouse, outhouse and doghouse. Checkpoints go up at fifteen miles. Our film's name is - THE FUGITIVE. And we're doin... Read all",Matt Detisch,Unknown,Unknown
80,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",Jim Abrahams,Jim Abrahams|Pat Proft,Charlie Sheen|Lloyd Bridges|Valeria Golino
81,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,Joel Coen,Ethan Coen|Joel Coen|Sam Raimi,Tim Robbins|Paul Newman|Jennifer Jason Leigh
82,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din... Read all,Steven Spielberg,Michael Crichton|David Koepp,Sam Neill|Laura Dern|Jeff Goldblum
83,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",Kenneth Branagh,William Shakespeare|Kenneth Branagh,Kenneth Branagh|Emma Thompson|Keanu Reeves
84,"The Earth is invaded by stingray-shaped alien ""slugs"" that ride on people's backs and control their minds.",Stuart Orme,Robert A. Heinlein|Ted Elliott|Terry Rossio,Donald Sutherland|Eric Thal|Julie Warner
85,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,Marie Weiss|Richard LaGravenese,Denis Leary|Judy Davis|Kevin Spacey
